cv_estado,cv_municipio,estado,municipio,tortillerias,population,brute_production
01,001,AGUASCALIENTES,AGUASCALIENTES,365,797010,103475027
01,002,AGUASCALIENTES,ASIENTOS,16,45492,100895
01,003,AGUASCALIENTES,CALVILLO,25,54136,586127
01,004,AGUASCALIENTES,COSÍO,8,15042,49793
01,005,AGUASCALIENTES,JESÚS MARÍA,50,99590,12224421
01,006,AGUASCALIENTES,PABELLÓN DE ARTEAGA,29,41862,768351
01,007,AGUASCALIENTES,RINCÓN DE ROMOS,36,49156,1626840
01,008,AGUASCALIENTES,SAN JOSÉ DE GRACIA,5,8443,55868
01,009,AGUASCALIENTES,TEPEZALÁ,10,19668,1477156
01,010,AGUASCALIENTES,EL LLANO,6,18828,56348
01,011,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,20,35769,7265463
02,001,BAJA CALIFORNIA,ENSENADA,109,466814,19888451
02,002,BAJA CALIFORNIA,MEXICALI,276,936826,113298878
02,003,BAJA CALIFORNIA,TECATE,18,101079,9693778
02,004,BAJA CALIFORNIA,TIJUANA,326,1559683,136546926
02,005,BAJA CALIFORNIA,PLAYAS DE ROSARITO,20,90668,4105326
03,001,BAJA CALIFORNIA SUR,COMONDÚ,28,70816,2903887
03,002,BAJA CALIFORNIA SUR,MULEGÉ,20,59114,3501097
03,003,BAJA CALIFORNIA SUR,LA PAZ,79,251871,21947977
03,008,BAJA CALIFORNIA SUR,LOS CABOS,76,238487,23462535
03,009,BAJA CALIFORNIA SUR,LORETO,8,16738,635303
04,001,CAMPECHE,CALKINÍ,67,52890,417170
04,002,CAMPECHE,CAMPECHE,154,259005,13364025
04,003,CAMPECHE,CARMEN,107,221094,704160934
04,004,CAMPECHE,CHAMPOTÓN,57,83021,1624365
04,005,CAMPECHE,HECELCHAKÁN,26,28306,174872
04,006,CAMPECHE,HOPELCHÉN,23,37777,119627
04,007,CAMPECHE,PALIZADA,8,8352,42586
04,008,CAMPECHE,TENABO,13,9736,159012
04,009,CAMPECHE,ESCÁRCEGA,23,54184,664043
04,010,CAMPECHE,CALAKMUL,7,26882,91026
04,011,CAMPECHE,CANDELARIA,15,41194,162747
05,001,COAHUILA DE ZARAGOZA,ABASOLO,1,1070,1400
05,002,COAHUILA DE ZARAGOZA,ACUÑA,29,136755,6979244
05,003,COAHUILA DE ZARAGOZA,ALLENDE,3,22675,629323
05,004,COAHUILA DE ZARAGOZA,ARTEAGA,4,22544,3818985
05,006,COAHUILA DE ZARAGOZA,CASTAÑOS,12,25892,2159993
05,007,COAHUILA DE ZARAGOZA,CUATRO CIÉNEGAS,3,13013,891379
05,009,COAHUILA DE ZARAGOZA,FRANCISCO I. MADERO,28,55676,539904
05,010,COAHUILA DE ZARAGOZA,FRONTERA,34,75215,16146788
05,011,COAHUILA DE ZARAGOZA,GENERAL CEPEDA,7,11682,25510
05,012,COAHUILA DE ZARAGOZA,GUERRERO,1,2091,22849
05,014,COAHUILA DE ZARAGOZA,JIMÉNEZ,3,9935,33574
05,016,COAHUILA DE ZARAGOZA,LAMADRID,1,1835,10623
05,017,COAHUILA DE ZARAGOZA,MATAMOROS,48,107160,1605171
05,018,COAHUILA DE ZARAGOZA,MONCLOVA,59,216206,48793167
05,019,COAHUILA DE ZARAGOZA,MORELOS,1,8207,166647
05,020,COAHUILA DE ZARAGOZA,MÚZQUIZ,9,66834,6963622
05,021,COAHUILA DE ZARAGOZA,NADADORES,1,6335,14843
05,022,COAHUILA DE ZARAGOZA,NAVA,1,27928,3764669
05,023,COAHUILA DE ZARAGOZA,OCAMPO,4,10991,1447013
05,024,COAHUILA DE ZARAGOZA,PARRAS,15,45401,1857278
05,025,COAHUILA DE ZARAGOZA,PIEDRAS NEGRAS,22,152806,10537320
05,027,COAHUILA DE ZARAGOZA,RAMOS ARIZPE,25,75461,108694243
05,028,COAHUILA DE ZARAGOZA,SABINAS,16,60847,4021859
05,029,COAHUILA DE ZARAGOZA,SACRAMENTO,1,2314,13610
05,030,COAHUILA DE ZARAGOZA,SALTILLO,296,725123,113179618
05,031,COAHUILA DE ZARAGOZA,SAN BUENAVENTURA,10,22149,274802
05,032,COAHUILA DE ZARAGOZA,SAN JUAN DE SABINAS,5,41649,2048995
05,033,COAHUILA DE ZARAGOZA,SAN PEDRO,45,102650,2287392
05,034,COAHUILA DE ZARAGOZA,SIERRA MOJADA,2,6375,2875225
05,035,COAHUILA DE ZARAGOZA,TORREÓN,278,639629,121980541
05,036,COAHUILA DE ZARAGOZA,VIESCA,3,21319,84000
05,038,COAHUILA DE ZARAGOZA,ZARAGOZA,2,12702,188635
06,001,COLIMA,ARMERÍA,27,28695,583712
06,002,COLIMA,COLIMA,147,146904,25495171
06,003,COLIMA,COMALA,37,20888,171348
06,004,COLIMA,COQUIMATLÁN,17,19385,500833
06,005,COLIMA,CUAUHTÉMOC,17,27107,1666941
06,006,COLIMA,IXTLAHUACÁN,2,5300,33912
06,007,COLIMA,MANZANILLO,114,161420,12024386
06,008,COLIMA,MINATITLÁN,6,8174,1043201
06,009,COLIMA,TECOMÁN,79,112726,5259951
06,010,COLIMA,VILLA DE ÁLVAREZ,83,119956,2230636
07,001,CHIAPAS,ACACOYAGUA,8,16814,51377
07,002,CHIAPAS,ACALA,42,28947,180923
07,003,CHIAPAS,ACAPETAHUA,19,27580,96386
07,004,CHIAPAS,ALTAMIRANO,28,29865,89083
07,005,CHIAPAS,AMATÁN,4,21275,19468
07,006,CHIAPAS,AMATENANGO DE LA FRONTERA,6,29547,10880
