number,stateCode,state,townCode,town,localCode,local
1,01,AGUASCALIENTES,001,AGUASCALIENTES,0106,ARELLANO
1,01,AGUASCALIENTES,001,AGUASCALIENTES,0135,EL CEDAZO (CEDAZO DE SAN ANTONIO)
1,01,AGUASCALIENTES,001,AGUASCALIENTES,0357,NORIAS DEL PASO HONDO
1,01,AGUASCALIENTES,005,JESÚS MARÍA,0037,MIRAVALLE
1,01,AGUASCALIENTES,005,JESÚS MARÍA,0040,LAS JAULAS
1,01,AGUASCALIENTES,005,JESÚS MARÍA,0043,LA LOMA DE VALLADOLID
1,01,AGUASCALIENTES,005,JESÚS MARÍA,0066,PASO BLANCO
1,01,AGUASCALIENTES,005,JESÚS MARÍA,0078,EJIDO LA GUAYANA (RANCHO SECO)
1,01,AGUASCALIENTES,005,JESÚS MARÍA,0084,SAN ANTONIO DE LOS HORCONES
1,01,AGUASCALIENTES,005,JESÚS MARÍA,0427,PASEOS DE AGUASCALIENTES
1,01,AGUASCALIENTES,011,SAN FRANCISCO DE LOS ROMO,0128,EX-VIÑEDOS GUADALUPE
1,02,BAJA CALIFORNIA,001,ENSENADA,0124,ISLA DE CEDROS
1,02,BAJA CALIFORNIA,001,ENSENADA,0186,EJIDO MÉXICO (PUNTA COLONET)
1,02,BAJA CALIFORNIA,001,ENSENADA,0190,REAL DEL CASTILLO NUEVO (OJOS NEGROS)
1,02,BAJA CALIFORNIA,001,ENSENADA,0935,LÁZARO CÁRDENAS (VALLE DE LA TRINIDAD)
1,02,BAJA CALIFORNIA,001,ENSENADA,1107,EMILIANO ZAPATA
1,02,BAJA CALIFORNIA,001,ENSENADA,2378,COLONIA NUEVA ERA
1,02,BAJA CALIFORNIA,002,MEXICALI,0110,COLONIA VENUSTIANO CARRANZA (LA CARRANZA)
1,02,BAJA CALIFORNIA,002,MEXICALI,0227,EJIDO SINALOA (ESTACIÓN KASEY)
1,02,BAJA CALIFORNIA,002,MEXICALI,0266,COLONIA LA PUERTA
1,02,BAJA CALIFORNIA,002,MEXICALI,0268,EJIDO HECHICERA
1,02,BAJA CALIFORNIA,002,MEXICALI,0378,JESÚS SANSÓN FLORES
1,02,BAJA CALIFORNIA,002,MEXICALI,0456,BENITO JUÁREZ (EJIDO TECOLOTES)
1,02,BAJA CALIFORNIA,002,MEXICALI,0459,POBLADO PAREDONES
1,02,BAJA CALIFORNIA,002,MEXICALI,0461,CIUDAD COAHUILA (KILÓMETRO CINCUENTA Y SIETE)
1,02,BAJA CALIFORNIA,002,MEXICALI,4705,VIÑAS DEL SOL
1,02,BAJA CALIFORNIA,002,MEXICALI,4708,RINCONES DEL PUEBLA
1,02,BAJA CALIFORNIA,002,MEXICALI,4925,RENACIMIENTO DEL VALLE
1,02,BAJA CALIFORNIA,003,TECATE,0107,LA RUMOROSA
1,02,BAJA CALIFORNIA,003,TECATE,0155,LUIS ECHEVERRÍA ÁLVAREZ (EL HONGO)
1,02,BAJA CALIFORNIA,003,TECATE,1573,LOMAS DE SANTA ANITA
1,02,BAJA CALIFORNIA,004,TIJUANA,1616,LOMAS DEL VALLE
1,02,BAJA CALIFORNIA,005,PLAYAS DE ROSARITO,0088,AMPLIACIÓN EJIDO PLAN LIBERTADOR
1,02,BAJA CALIFORNIA,005,PLAYAS DE ROSARITO,0089,PRIMO TAPIA
1,03,BAJA CALIFORNIA SUR,001,COMONDÚ,0003,PUERTO ADOLFO LÓPEZ MATEOS
1,03,BAJA CALIFORNIA SUR,003,LA PAZ,0092,EL CENTENARIO
1,03,BAJA CALIFORNIA SUR,008,LOS CABOS,0247,SAN JOSÉ VIEJO
1,04,CAMPECHE,004,CHAMPOTÓN,0016,LA JOYA
1,05,COAHUILA DE ZARAGOZA,001,ABASOLO,0001,ABASOLO
1,05,COAHUILA DE ZARAGOZA,010,FRONTERA,0005,OCHO DE ENERO
1,05,COAHUILA DE ZARAGOZA,012,GUERRERO,0001,GUERRERO
1,05,COAHUILA DE ZARAGOZA,014,JIMÉNEZ,0001,JIMÉNEZ
1,05,COAHUILA DE ZARAGOZA,016,LAMADRID,0001,LAMADRID
1,05,COAHUILA DE ZARAGOZA,017,MATAMOROS,0017,LA ESPERANZA
1,05,COAHUILA DE ZARAGOZA,019,MORELOS,0001,MORELOS
1,05,COAHUILA DE ZARAGOZA,021,NADADORES,0001,NADADORES
1,05,COAHUILA DE ZARAGOZA,022,NAVA,0001,NAVA
1,05,COAHUILA DE ZARAGOZA,029,SACRAMENTO,0001,SACRAMENTO
1,05,COAHUILA DE ZARAGOZA,035,TORREÓN,0152,LA CONCHA
1,05,COAHUILA DE ZARAGOZA,035,TORREÓN,0180,LA PAZ
1,06,COLIMA,009,TECOMÁN,0011,COLONIA BAYARDO
1,07,CHIAPAS,006,AMATENANGO DE LA FRONTERA,0001,AMATENANGO DE LA FRONTERA
1,07,CHIAPAS,007,AMATENANGO DEL VALLE,0001,AMATENANGO DEL VALLE
1,07,CHIAPAS,010,BEJUCAL DE OCAMPO,0001,BEJUCAL DE OCAMPO
1,07,CHIAPAS,033,FRANCISCO LEÓN,0042,RIVERA EL VIEJO CARMEN
1,07,CHIAPAS,050,LA LIBERTAD,0001,LA LIBERTAD
1,07,CHIAPAS,053,MAZAPA DE MADERO,0001,MAZAPA DE MADERO
1,07,CHIAPAS,088,SUNUAPA,0001,SUNUAPA
1,07,CHIAPAS,096,TILA,0048,NUEVA ESPERANZA
1,07,CHIAPAS,099,LA TRINITARIA,0136,JOSÉ MARÍA MORELOS
1,07,CHIAPAS,118,SAN ANDRÉS DURAZNAL,0001,SAN ANDRÉS DURAZNAL
1,07,CHIAPAS,119,SANTIAGO EL PINAR,0001,SANTIAGO EL PINAR
1,08,CHIHUAHUA,008,BATOPILAS,0001,BATOPILAS
1,08,CHIHUAHUA,009,BOCOYNA,0001,BOCOYNA
1,08,CHIHUAHUA,010,BUENAVENTURA,0026,FLORES MAGÓN
1,08,CHIHUAHUA,026,GRAN MORELOS,0001,SAN NICOLÁS DE CARRETAS
1,08,CHIHUAHUA,030,GUAZAPARES,0001,TÉMORIS
1,08,CHIHUAHUA,031,GUERRERO,0128,TOMOCHI
1,08,CHIHUAHUA,033,HUEJOTITÁN,0001,HUEJOTITÁN
1,08,CHIHUAHUA,040,MADERA,0026,NICOLÁS BRAVO
1,08,CHIHUAHUA,040,MADERA,0044,LAS VARAS (ESTACIÓN BABÍCORA)
1,08,CHIHUAHUA,041,MAGUARICHI,0001,MAGUARICHI
1,08,CHIHUAHUA,047,MORIS,0001,MORIS
1,08,CHIHUAHUA,057,SAN FRANCISCO DE BORJA,0001,SAN FRANCISCO DE BORJA
1,08,CHIHUAHUA,058,SAN FRANCISCO DE CONCHOS,0001,SAN FRANCISCO DE CONCHOS
1,08,CHIHUAHUA,061,SATEVÓ,0001,SAN FRANCISCO JAVIER DE SATEVÓ
1,08,CHIHUAHUA,064,EL TULE,0001,EL TULE
1,08,CHIHUAHUA,065,URIQUE,0001,URIQUE
1,09,DISTRITO FEDERAL,004,CUAJIMALPA DE MORELOS,0054,PUERTO LAS CRUCES (MONTE LAS CRUCES)
1,09,DISTRITO FEDERAL,011,TLÁHUAC,0140,EL PARAÍSO (MECOXTLA)
1,09,DISTRITO FEDERAL,011,TLÁHUAC,0142,AMPLIACIÓN SAN MIGUEL
1,09,DISTRITO FEDERAL,012,TLALPAN,0351,CARRETERA AL AJUSCO II
1,09,DISTRITO FEDERAL,013,XOCHIMILCO,0160,PARAJE TOCHUCA (SAN SALVADOR)
1,10,DURANGO,003,CONETO DE COMONFORT,0001,CONETO DE COMONFORT
1,10,DURANGO,004,CUENCAMÉ,0074,VELARDEÑA
1,10,DURANGO,005,DURANGO,0219,EL NAYAR
1,10,DURANGO,007,GÓMEZ PALACIO,0120,LA POPULAR
1,10,DURANGO,007,GÓMEZ PALACIO,0135,SAN FELIPE
1,10,DURANGO,009,GUANACEVÍ,0001,GUANACEVÍ
1,10,DURANGO,010,HIDALGO,0001,VILLA HIDALGO
1,10,DURANGO,011,INDÉ,0001,INDÉ
1,10,DURANGO,012,LERDO,0007,CARLOS REAL (SAN CARLOS)
1,10,DURANGO,012,LERDO,0021,LEÓN GUZMÁN
1,10,DURANGO,012,LERDO,0023,LA LOMA
1,10,DURANGO,019,OTÁEZ,0001,OTÁEZ
1,10,DURANGO,025,SAN BERNARDO,0001,SAN BERNARDO
1,10,DURANGO,029,SAN LUIS DEL CORDERO,0001,SAN LUIS DEL CORDERO
1,10,DURANGO,030,SAN PEDRO DEL GALLO,0001,SAN PEDRO DEL GALLO
1,11,GUANAJUATO,005,APASEO EL GRANDE,0033,OBRAJUELO
1,11,GUANAJUATO,005,APASEO EL GRANDE,0051,SAN PEDRO TENANGO EL NUEVO
1,11,GUANAJUATO,007,CELAYA,0097,PUERTA DEL MONTE (ELGUERA)
1,11,GUANAJUATO,007,CELAYA,0098,ESTRADA
1,11,GUANAJUATO,007,CELAYA,0130,LA PALMITA (LA PALMITA DE SAN GABRIEL)
1,11,GUANAJUATO,007,CELAYA,0137,COLONIA FRACCIONAMIENTO EL PUENTE
1,11,GUANAJUATO,007,CELAYA,0159,SAN JOSÉ DE GUANAJUATO
1,11,GUANAJUATO,007,CELAYA,0250,LA AURORA
1,11,GUANAJUATO,007,CELAYA,0414,COLONIA PATRIA NUEVA
1,11,GUANAJUATO,007,CELAYA,0415,COLONIA PEDRO MARÍA ANAYA
1,11,GUANAJUATO,011,CORTAZAR,0006,CAÑADA DE CARACHEO
1,11,GUANAJUATO,011,CORTAZAR,0050,SANTA FE DE LA PURÍSIMA
1,11,GUANAJUATO,017,IRAPUATO,0082,CUCHICUATO
1,11,GUANAJUATO,017,IRAPUATO,0177,TOMELOPITOS
1,11,GUANAJUATO,017,IRAPUATO,0359,VILLAS DE IRAPUATO
1,11,GUANAJUATO,025,PURÍSIMA DEL RINCÓN,0003,BUENAVISTA
1,11,GUANAJUATO,025,PURÍSIMA DEL RINCÓN,0097,COLINAS DEL REAL
1,11,GUANAJUATO,025,PURÍSIMA DEL RINCÓN,0112,RINCONES DE LA PRADERA
1,11,GUANAJUATO,027,SALAMANCA,0042,LA CAPILLA
1,11,GUANAJUATO,027,SALAMANCA,0087,LOMA PELADA
1,11,GUANAJUATO,027,SALAMANCA,0136,SAN JUAN DE RAZOS
1,11,GUANAJUATO,027,SALAMANCA,0594,FRACCIONAMIENTO BARLOVENTO
1,11,GUANAJUATO,031,SAN FRANCISCO DEL RINCÓN,0016,ESTACIÓN DE SAN FRANCISCO
1,11,GUANAJUATO,031,SAN FRANCISCO DEL RINCÓN,0272,FRACCIONAMIENTO LA MEZQUITERA
1,11,GUANAJUATO,031,SAN FRANCISCO DEL RINCÓN,0288,FRACCIONAMIENTO VILLA JARDÍN
1,11,GUANAJUATO,032,SAN JOSÉ ITURBIDE,0018,EL CERRITO DEL ARENAL
1,11,GUANAJUATO,032,SAN JOSÉ ITURBIDE,0021,LA CINTA
1,11,GUANAJUATO,032,SAN JOSÉ ITURBIDE,0038,LA FRAGUA
1,11,GUANAJUATO,032,SAN JOSÉ ITURBIDE,0043,LA HUERTA
1,11,GUANAJUATO,032,SAN JOSÉ ITURBIDE,0086,SAN SEBASTIÁN DEL SALITRE
1,11,GUANAJUATO,032,SAN JOSÉ ITURBIDE,0090,SAN DIEGO DE LAS TRASQUILAS
1,11,GUANAJUATO,032,SAN JOSÉ ITURBIDE,0112,LA VENTA
1,11,GUANAJUATO,035,SANTA CRUZ DE JUVENTINO ROSAS,0053,RINCÓN DE CENTENO
1,11,GUANAJUATO,044,VILLAGRÁN,0042,SANTA ROSA
1,11,GUANAJUATO,044,VILLAGRÁN,0102,LOS ÁNGELES
1,12,GUERRERO,047,PEDRO ASCENCIO ALQUISIRAS,0001,IXCAPUZALCO
1,12,GUERRERO,072,ZAPOTITLÁN TABLAS,0001,ZAPOTITLÁN TABLAS
1,12,GUERRERO,078,COCHOAPA EL GRANDE,0001,COCHOAPA EL GRANDE
1,13,HIDALGO,002,ACAXOCHITLÁN,0007,LOS REYES
1,13,HIDALGO,010,ATITALAQUIA,7001,LOCALIDAD ECONÓMICA
1,13,HIDALGO,016,CUAUTEPEC DE HINOJOSA,0039,ALMOLOYA
1,13,HIDALGO,033,JUÁREZ HIDALGO,0001,JUÁREZ
1,13,HIDALGO,038,MINERAL DEL CHICO,0001,MINERAL DEL CHICO
1,13,HIDALGO,051,MINERAL DE LA REFORMA,0012,SAN GUILLERMO LA REFORMA
1,13,HIDALGO,051,MINERAL DE LA REFORMA,0090,LAS ÁGUILAS
1,13,HIDALGO,051,MINERAL DE LA REFORMA,0098,LAS FLORES
1,13,HIDALGO,051,MINERAL DE LA REFORMA,0100,CARBONERAS [FRACCIONAMIENTO]
1,13,HIDALGO,051,MINERAL DE LA REFORMA,0104,LOMAS DEL CHACÓN
1,13,HIDALGO,051,MINERAL DE LA REFORMA,0108,PASEO DE LAS REYNAS
1,13,HIDALGO,051,MINERAL DE LA REFORMA,0110,LOS PINOS
1,13,HIDALGO,051,MINERAL DE LA REFORMA,0112,PRIVADA DE LOS OLIVOS
1,13,HIDALGO,051,MINERAL DE LA REFORMA,0123,PRIVADA QUINTA BONITA
1,13,HIDALGO,051,MINERAL DE LA REFORMA,0127,RINCONADAS DEL VENADO II
1,13,HIDALGO,051,MINERAL DE LA REFORMA,0128,RINCONADA DEL ÁLAMO
1,13,HIDALGO,051,MINERAL DE LA REFORMA,0138,SAN JOSÉ
1,13,HIDALGO,051,MINERAL DE LA REFORMA,0141,TULIPANES
1,13,HIDALGO,051,MINERAL DE LA REFORMA,0146,VILLAS DEL ÁLAMO
1,13,HIDALGO,069,TIZAYUCA,0010,EL CID
1,14,JALISCO,019,BOLAÑOS,0001,BOLAÑOS
1,14,JALISCO,028,CUAUTLA,0001,CUAUTLA
1,14,JALISCO,049,JILOTLÁN DE LOS DOLORES,0001,JILOTLÁN DE LOS DOLORES
1,14,JALISCO,050,JOCOTEPEC,0002,CHANTEPEC (EL CHANTE)
1,14,JALISCO,069,QUITUPAN,0001,QUITUPAN
1,14,JALISCO,070,EL SALTO,0009,HACIENDA VIEJA DEL CASTILLO (CASTILLO VIEJO)
1,14,JALISCO,070,EL SALTO,0011,EL MUEY
1,14,JALISCO,070,EL SALTO,0064,LA ALAMEDA [FRACCIONAMIENTO]
1,14,JALISCO,071,SAN CRISTÓBAL DE LA BARRANCA,0001,SAN CRISTÓBAL DE LA BARRANCA
1,14,JALISCO,081,SANTA MARÍA DE LOS ÁNGELES,0001,SANTA MARÍA DE LOS ÁNGELES
1,14,JALISCO,097,TLAJOMULCO DE ZÚÑIGA,0006,LA CALERA
1,14,JALISCO,097,TLAJOMULCO DE ZÚÑIGA,0023,LOMAS DE TEJEDA
1,14,JALISCO,097,TLAJOMULCO DE ZÚÑIGA,0031,SAN LUCAS EVANGELISTA
1,14,JALISCO,097,TLAJOMULCO DE ZÚÑIGA,0043,BUENAVISTA
1,14,JALISCO,097,TLAJOMULCO DE ZÚÑIGA,0117,JARDINES DE LA CALERA
1,14,JALISCO,097,TLAJOMULCO DE ZÚÑIGA,0831,REAL DEL VALLE (EL PARAÍSO) [FRACCIONAMIENTO]
1,14,JALISCO,101,TONALÁ,0190,PASEO PUENTE VIEJO
1,14,JALISCO,107,TUXCUECA,0001,TUXCUECA
1,14,JALISCO,120,ZAPOPAN,0206,SAN ESTEBAN (SAN MIGUEL TATEPOSCO)
1,14,JALISCO,120,ZAPOPAN,0430,CAMPESTRE LAS PALOMAS [FRACCIONAMIENTO]
1,15,MÉXICO                      ,002,ACOLMAN,0011,SAN PEDRO TEPETITLÁN
1,15,MÉXICO                      ,027,CHAPULTEPEC,0012,UNIDAD HABITACIONAL SANTA TERESA
1,15,MÉXICO                      ,032,DONATO GUERRA,0008,SAN AGUSTÍN DE LAS PALMAS (SAN AGUSTÍN)
1,15,MÉXICO                      ,039,IXTAPALUCA,0007,GENERAL MANUEL ÁVILA CAMACHO
1,15,MÉXICO                      ,045,JILOTEPEC,0006,CALPULALPAN (PRIMERA MANZANA CENTRO)
1,15,MÉXICO                      ,051,LERMA,0086,COLONIA LOS CEDROS
1,15,MÉXICO                      ,054,METEPEC,0052,SAN SEBASTIÁN
1,15,MÉXICO                      ,060,NICOLÁS ROMERO,0025,TRANSFIGURACIÓN
1,15,MÉXICO                      ,062,OCOYOACAC,0018,LA MARQUESA
1,15,MÉXICO                      ,070,LA PAZ,0037,BOSQUES DE LA MAGDALENA
1,15,MÉXICO                      ,074,SAN FELIPE DEL PROGRESO,0008,CALVARIO DEL CARMEN
1,15,MÉXICO                      ,074,SAN FELIPE DEL PROGRESO,0045,SAN ANTONIO DE LAS HUERTAS
1,15,MÉXICO                      ,099,TEXCOCO,0003,EL COOPERATIVO
1,15,MÉXICO                      ,099,TEXCOCO,0023,SAN FELIPE
1,15,MÉXICO                      ,099,TEXCOCO,0028,SAN MATEO HUEXOTLA
1,15,MÉXICO                      ,099,TEXCOCO,0033,SAN SEBASTIÁN
1,15,MÉXICO                      ,099,TEXCOCO,0041,SANTA MARÍA TECUANULCO
1,15,MÉXICO                      ,099,TEXCOCO,0048,XOCOTLÁN
1,15,MÉXICO                      ,099,TEXCOCO,0062,SANTIAGUITO
1,15,MÉXICO                      ,106,TOLUCA,0220,FRACCIONAMIENTO REAL DE SAN PABLO
1,15,MÉXICO                      ,109,TULTITLÁN,0072,COLONIA LÁZARO CÁRDENAS (LOS HORNOS)
1,15,MÉXICO                      ,118,ZINACANTEPEC,0075,TEJALPA
1,15,MÉXICO                      ,120,ZUMPANGO,0056,SANTA LUCÍA
1,15,MÉXICO                      ,120,ZUMPANGO,0198,PASEOS DE SAN JUAN
1,16,MICHOACÁN DE OCAMPO       ,041,IRIMBO,0009,LA FRONTERA
1,16,MICHOACÁN DE OCAMPO       ,053,MORELIA,0438,SAN ANTONIO
1,16,MICHOACÁN DE OCAMPO       ,088,TARÍMBARO,0140,CAMPESTRE TARÍMBARO
1,16,MICHOACÁN DE OCAMPO       ,097,TURICATO,0074,LA ERMITA (NUEVA JERUSALÉN)
1,16,MICHOACÁN DE OCAMPO       ,108,ZAMORA,0007,CHAPARACO
1,16,MICHOACÁN DE OCAMPO       ,108,ZAMORA,0173,FRACCIONAMIENTO EX-HACIENDA EL REFUGIO
1,16,MICHOACÁN DE OCAMPO       ,110,ZINAPÉCUARO,0006,BOCANEO (SAN PEDRO)
1,17,MORELOS,002,ATLATLAHUCAN,0033,FRACCIONAMIENTO LOMAS DE COCOYOC
1,17,MORELOS,006,CUAUTLA,0078,TIERRA LARGA (CAMPO NUEVO)
1,18,NAYARIT,020,BAHÍA DE BANDERAS,0081,SAN FRANCISCO
1,19,NUEVO LEÓN   ,003,LOS ALDAMAS,0001,LOS ALDAMAS
1,19,NUEVO LEÓN   ,006,APODACA,0078,LOMA LA PAZ
