cv_estado,cv_municipio,tortillerias,population,brute_production
04,003,107,221094,704160934
09,016,187,372889,498656965
09,015,305,531831,438606919
19,039,367,1135550,323301337
09,014,151,385439,218708712
27,014,22,86620,208348393
09,010,453,727034,206276633
14,039,779,1495189,204738111
15,106,1078,819561,189694391
07,074,21,40711,172628120
09,002,291,414711,164925198
24,028,447,772604,158241680
30,039,249,305260,151094594
26,030,263,784342,146265221
28,032,311,608891,144387942
14,120,547,1243756,139523152
02,004,326,1559683,136546926
22,014,510,801940,130779324
13,010,92,26904,130691720
20,079,74,82371,122665173
05,035,278,639629,121980541
21,114,1590,1539819,121080751
08,019,275,819543,120073513
21,041,144,79153,117121298
27,004,273,640359,115507016
02,002,276,936826,113298878
05,030,296,725123,113179618
19,046,103,443273,112830989
15,104,525,664225,110660094
05,027,25,75461,108694243
08,037,287,1332131,108609651
09,012,543,650567,104203957
01,001,365,797010,103475027
11,020,840,1436480,102934313
11,027,197,260732,100384219
19,006,140,523370,99355674
30,193,213,552156,96019285
09,004,113,186391,95914760
19,009,24,86445,94149279
15,033,1567,1656107,90951127
15,057,544,833779,85521215
09,003,377,620416,82940417
31,050,570,830732,80216718
30,108,104,157840,79640868
09,017,325,430978,77449636
27,002,121,248481,74125115
28,009,127,197216,73870177
09,007,1492,1815786,73586969
19,048,75,268955,73034358
15,121,333,511675,68734872
25,006,553,858638,65046144
19,019,8,122659,61943614
28,003,131,212001,61569486
23,005,314,661176,56757261
16,052,224,178817,55503545
11,037,167,173024,54460437
11,007,312,468469,52385427
19,026,190,678006,52124552
16,053,1165,729279,51353178
30,131,183,193311,50524967
10,007,103,327985,50145789
27,012,38,153132,49947180
05,018,59,216206,48793167
09,005,877,1185772,48612799
22,016,210,241699,44585486
15,109,393,486998,43191634
30,028,77,138058,42904695
14,070,99,138226,42658811
14,098,326,608114,40380858
15,051,113,134799,36978462
09,006,284,384326,36502702
26,041,3,12751,36313247
17,011,279,196953,34747760
28,038,221,297554,34195424
11,017,317,529440,33680038
22,011,56,116458,33606941
28,022,188,489193,33290617
17,007,410,365168,31799885
26,018,202,409310,31537379
12,001,898,789971,30970312
07,078,271,185917,30901251
25,012,345,438434,29511152
07,101,676,553374,27553290
09,013,418,415007,26848253
19,021,131,357937,26841790
10,005,274,582267,26283185
06,002,147,146904,25495171
18,017,211,380249,25038240
14,097,150,416626,24806012
03,008,76,238487,23462535
25,001,273,416299,23405980
19,018,57,143668,23173518
11,015,83,171709,22772949
28,027,82,384033,22217097
03,003,79,251871,21947977
30,087,365,457928,21632679
13,030,287,86363,21153634
32,005,37,39917,20074690
02,001,109,466814,19888451
23,008,92,159310,19876304
20,067,634,263357,18897067
30,204,28,46010,18739632
13,048,541,267862,18477891
15,070,237,253845,18237471
30,085,74,65385,17820655
12,038,156,118211,17793009
15,072,21,12748,17621092
28,041,202,321953,17235893
30,044,138,196541,16420256
05,010,34,75215,16146788
14,067,117,255681,15980365
20,184,100,155766,15792827
15,095,80,88559,15750758
26,043,40,220292,15644866
15,024,61,140059,15571205
26,042,61,157729,15230935
15,013,359,489937,15080586
11,032,42,72411,14955471
32,010,140,213139,14260986
13,069,101,97461,14162179
15,101,136,70682,14159880
21,156,1491,274906,14103199
15,058,943,1110565,13694267
30,118,118,120995,13458636
04,002,154,259005,13364025
23,004,128,244553,13198682
14,053,74,153817,12356429
01,005,50,99590,12224421
06,007,114,161420,12024386
16,102,362,315350,12018411
31,101,41,50993,12013563
15,048,160,61204,11993784
11,044,65,55782,11908759
13,063,112,80612,11058112
19,025,17,55213,10978176
15,039,354,467361,10967342
30,048,124,117725,10907852
15,014,235,93718,10565037
11,005,42,85319,10553735
22,006,75,143073,10550367
05,025,22,152806,10537320
21,074,100,63457,10162960
29,031,57,28760,10161095
02,003,18,101079,9693778
15,037,146,242167,9544002
30,189,124,143362,9445087
15,054,159,214162,9168822
08,021,56,137935,9118943
15,062,114,61805,8948949
26,029,42,149299,8652280
21,132,222,141112,8598853
08,017,43,154639,8546163
15,076,97,72579,8455904
28,040,27,63170,8417671
29,033,281,89795,8287599
13,076,211,103919,8286046
27,008,50,179285,8098329
